# N1000A DCA-X Waveform Capture
# Timestamp: 2025-08-01 10:07:06
# Instrument: Keysight Technologies,N1000A,MY64350173,A.07.60.209
# Channel: CHAN1A
# X Increment: 1e-12
# X Origin: 0
# Y Increment: 0.001
# Y Origin: 0
# Y Reference: 0
# Number of Points: 1000
#
Time(s),Voltage(V)
0.000000000000e+00,-8.594461e-02
1.000000000000e-12,-1.040315e-01
2.000000000000e-12,1.799518e-01
3.000000000000e-12,-1.696256e-01
4.000000000000e-12,3.114533e-02
5.000000000000e-12,-3.113286e-02
6.000000000000e-12,1.159146e-02
7.000000000000e-12,2.241856e-02
8.000000000000e-12,-3.439713e-02
9.000000000000e-12,-2.821760e-01
1.000000000000e-11,-3.517025e-02
1.100000000000e-11,1.454558e-01
1.200000000000e-11,-9.222038e-02
1.300000000000e-11,1.485196e-03
1.400000000000e-11,2.218979e-02
1.500000000000e-11,1.610087e-01
1.600000000000e-11,7.633225e-02
1.700000000000e-11,2.221774e-02
1.800000000000e-11,-5.445123e-02
1.900000000000e-11,2.129528e-02
2.000000000000e-11,6.264891e-02
2.100000000000e-11,-9.882175e-02
2.200000000000e-11,3.618732e-02
2.300000000000e-11,-1.426974e-01
2.400000000000e-11,1.647420e-01
2.500000000000e-11,2.899731e-02
2.600000000000e-11,-2.646779e-02
2.700000000000e-11,1.604053e-01
2.800000000000e-11,-1.650242e-01
2.900000000000e-11,8.906622e-02
3.000000000000e-11,4.125856e-02
3.100000000000e-11,-4.761005e-02
3.200000000000e-11,-2.487759e-02
3.300000000000e-11,1.841000e-01
3.400000000000e-11,1.738654e-01
3.500000000000e-11,-7.259131e-03
3.600000000000e-11,1.091611e-01
3.700000000000e-11,-1.338890e-01
3.800000000000e-11,-2.109616e-02
3.900000000000e-11,9.534277e-02
4.000000000000e-11,1.624716e-01
4.100000000000e-11,-1.252775e-01
4.200000000000e-11,1.268186e-01
4.300000000000e-11,1.805191e-01
4.400000000000e-11,4.030742e-02
4.500000000000e-11,-7.946592e-02
4.600000000000e-11,3.567121e-02
4.700000000000e-11,-1.113970e-01
4.800000000000e-11,1.405519e-02
